Wine - Fume Blanc Fetzer,G222-M3333,Buteo galapagoensis,Bouncingbet,89327,,DISABLED
Tuna - Bluefin,Y222-E3333,unavailable,Disk Lichen,39223,,DISABLED
Bread - Bistro Sour,L222-S3333,Lophoaetus occipitalis,Mosquitograss,5012,,ENABLE
Turkey - Breast, Double,Q222-J3333,Varanus salvator,New Mexico Spiny Milkvetch,86591,,DISABLED
Capon - Breast, Double, Wing On,M222-T3333,Lorythaixoides concolor,Western Daisy Fleabane,55876,,DISABLED
Napkin - Dinner, White,F222-N3333,Crocuta crocuta,Aspalathus,31079,,DISABLED
Lettuce - Belgian Endive,R222-H3333,Bassariscus astutus,Texas Flatsedge,58568,,DISABLED
Oats Large Flake,O222-L3333,Lutra canadensis,Brandegee's Penstemon,90663,,ENABLE
Buttons,P222-J3333,Plegadis falcinellus,Siskiyou Mariposa Lily,1217,,ENABLE
Snapple Lemon Tea,X222-P3333,Trichoglossus chlorolepidotus,Bigelow's Beggarticks,81128,,ENABLE
Soup - Knorr, Country Bean,N222-E3333,Crotalus cerastes,New York Dewberry,29469,,DISABLED
Carbonated Water - Peach,Q222-G3333,Eumetopias jubatus,Ravenel's Lung Lichen,49200,,DISABLED
Beef - Sushi Flat Iron Steak,Z222-S3333,Leprocaulinus vipera,Muskingum Sedge,36783,,DISABLED
Banana,X222-F3333,Trachyphonus vaillantii,White River Coraldrops,29355,,DISABLED
Corn Syrup,H222-V3333,Potamochoerus porcus,Lampranthus,34348,,DISABLED
Soap - Pine Sol Floor Cleaner,O222-X3333,Columba palumbus,Dot Lichen,32570,,ENABLE
Onions - Pearl,O222-B3333,Lemur catta,Cracked Lichen,41550,,DISABLED
Haggis,F222-J3333,Actophilornis africanus,Whitetop,91673,,DISABLED
Chicken - Ground,R222-S3333,Macaca mulatta,Tuberous Comfrey,47863,,ENABLE
Soup - Cream Of Potato / Leek,Z222-B3333,Macropus rufogriseus,Nuttall's Horsebrush,57370,,DISABLED
Oven Mitts 17 Inch,E222-D3333,Butorides striatus,Trailing Crabgrass,18317,,ENABLE
Bread - Crusty Italian Poly,L222-B3333,Laniarius ferrugineus,Sandbar Lovegrass,35287,,ENABLE
Wine - Red, Gallo, Merlot,Y222-P3333,Pteropus rufus,Cyrto-hypnum Moss,55799,,ENABLE
Wine - White, Colubia Cresh,W222-O3333,Alectura lathami,Squirrel's Tail,49513,,DISABLED
Sprouts - Brussel,T222-F3333,Martes americana,Scalloped Milkwort,46249,,DISABLED
Pepper - Paprika, Spanish,H222-W3333,Sterna paradisaea,Weill's Lichenochora Lichen,74406,,DISABLED
The Pop Shoppe - Black Cherry,V222-G3333,unavailable,Saguaro,40103,,ENABLE
Spice - Montreal Steak Spice,D222-X3333,Cacatua tenuirostris,Arizona Spikerush,61523,,DISABLED
Sauce - Bernaise, Mix,A222-B3333,Philetairus socius,Ontario Rhodobryum Moss,38472,,ENABLE
Shopper Bag - S - 4,U222-Z3333,Cordylus giganteus,Singapore Graveyard Flower,46985,,DISABLED
Lotus Root,S222-V3333,Papio cynocephalus,Golden Tickseed,67915,,DISABLED
Flower - Leather Leaf Fern,J222-G3333,Lutra canadensis,Spiderweb Chloris,53644,,DISABLED
Beef - Sushi Flat Iron Steak,U222-L3333,Equus burchelli,Flatstem Spikerush,41341,,DISABLED
Flour - Chickpea,T222-V3333,Charadrius tricollaris,Bran Lichen,50562,,ENABLE
Wine - Bourgogne 2002, La,F222-N3333,Porphyrio porphyrio,Hairy Fournwort,91483,,ENABLE
Cocktail Napkin Blue,T222-S3333,Graspus graspus,Crested Wheatgrass,21522,,DISABLED
Bread - Rolls, Rye,L222-D3333,Ctenophorus ornatus,Forest Sandmat,83434,,ENABLE
Wine - Crozes Hermitage E.,V222-H3333,Picoides pubescens,Annual Water Minerslettuce,2529,,ENABLE
Pepper - Green,H222-O3333,Mirounga leonina,Atrichum Moss,68251,,DISABLED
Lemon Grass,D222-B3333,Theropithecus gelada,Mangabeira,55297,,DISABLED
Pork - Side Ribs,Y222-Y3333,Papilio canadensis,Little Bluestem,42409,,ENABLE
Bread - Olive Dinner Roll,M222-R3333,Recurvirostra avosetta,Garbancillo,47945,,DISABLED
Scampi Tail,S222-F3333,Larus fuliginosus,Largeflower Tickseed,82814,,DISABLED
Beef - Montreal Smoked Brisket,P222-K3333,Sarcophilus harrisii,Fogg's Goosefoot,54876,,DISABLED
Longos - Chicken Wings,N222-M3333,Chelodina longicollis,Horsehair Lichen,86849,,DISABLED
Rum - Light, Captain Morgan,U222-H3333,Tiliqua scincoides,Scalystem,60232,,ENABLE
Soup - Campbells, Minestrone,G222-A3333,Coluber constrictor,Oppositeleaf Maiden Fern,15508,,ENABLE
Cocktail Napkin Blue,G222-V3333,Oryx gazella,New Mexico Cinquefoil,28163,,DISABLED
Water - Perrier,O222-I3333,Lutra canadensis,Piorkowski's Clover,98388,,DISABLED
